,GCM,RCM,RCP,ensemble,institute,Prec,RH,Rs,T,Tmax,Tmin,aP,u2,EToPM,EToPM2,EToHG,EToPT,EToSJ
KNMI.EC-EARTH.RACMO22E.r3i1p1.rcp85,EC-EARTH,RACMO22E,rcp85,r3i1p1,KNMI,111,111,111,111,111,111,111,111,11.0,11.0,111.0,11.0,11.0
KNMI.IPSL-CM5A-MR.RACMO22E.r1i1p1.rcp85,IPSL-CM5A-MR,RACMO22E,rcp85,r1i1p1,KNMI,111,111,111,111,111,111,111,111,11.0,11.0,111.0,11.0,11.0
KNMI.HadGEM2-ES.RACMO22E.r1i1p1.rcp26,HadGEM2-ES,RACMO22E,rcp26,r1i1p1,KNMI,111,111,111,111,111,111,111,111,111.0,111.0,11.0,11.0,11.0
KNMI.HadGEM2-ES.RACMO22E.r1i1p1.rcp45,HadGEM2-ES,RACMO22E,rcp45,r1i1p1,KNMI,111,111,111,111,111,111,111,111,111.0,111.0,11.0,11.0,11.0
KNMI.HadGEM2-ES.RACMO22E.r1i1p1.rcp85,HadGEM2-ES,RACMO22E,rcp85,r1i1p1,KNMI,111,111,111,111,111,111,111,111,111.0,111.0,11.0,11.0,11.0
KNMI.M-MPI-ESM-LR.RACMO22E.r1i1p1.rcp26,M-MPI-ESM-LR,RACMO22E,rcp26,r1i1p1,KNMI,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
KNMI.M-MPI-ESM-LR.RACMO22E.r1i1p1.rcp85,M-MPI-ESM-LR,RACMO22E,rcp85,r1i1p1,KNMI,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
KNMI.NorESM1-M.RACMO22E.r1i1p1.rcp26,NorESM1-M,RACMO22E,rcp26,r1i1p1,KNMI,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
KNMI.NorESM1-M.RACMO22E.r1i1p1.rcp85,NorESM1-M,RACMO22E,rcp85,r1i1p1,KNMI,111,111,111,111,111,111,111,111,11.0,11.0,111.0,111.0,11.0
MOHC.EC-EARTH.HadREM3-GA7-05.r12i1p1.rcp85,EC-EARTH,HadREM3-GA7-05,rcp85,r12i1p1,MOHC,111,11,111,11,11,111,11,111,11.0,11.0,11.0,11.0,11.0
MOHC.HadGEM2-ES.HadREM3-GA7-05.r1i1p1.rcp85,HadGEM2-ES,HadREM3-GA7-05,rcp85,r1i1p1,MOHC,111,111,111,111,11,111,111,111,11.0,11.0,11.0,11.0,11.0
MOHC.M-MPI-ESM-LR.HadREM3-GA7-05.r1i1p1.rcp85,M-MPI-ESM-LR,HadREM3-GA7-05,rcp85,r1i1p1,MOHC,111,11,111,11,111,111,111,111,11.0,11.0,11.0,11.0,11.0
MOHC.NorESM1-M.HadREM3-GA7-05.r1i1p1.rcp85,NorESM1-M,HadREM3-GA7-05,rcp85,r1i1p1,MOHC,111,11,111,111,111,111,111,11,11.0,11.0,111.0,11.0,11.0
